trackId,InitialFrame,TotalFrame,Distance,minVel                  ,maxVel,meanVel,VehicleClass,LaneChangeNum,RampVehicle
5473,19867,221,167.99,14.62,21.00,19.09,car,0,False
5477,19885,170,141.64,20.06,22.09,20.96,car,0,False
5481,19943,184,137.11,17.44,19.25,18.73,car,0,False
5486,19969,142,112.50,17.31,20.97,19.94,car,0,False
5499,20049,252,168.95,14.44,19.37,16.82,car,0,False
5502,20022,183,159.60,20.50,22.94,21.92,car,0,False
5503,20069,280,188.96,15.19,19.13,16.93,car,0,False
5518,20149,219,158.20,16.94,19.34,18.14,car,0,False
5528,20179,224,148.35,13.84,17.94,16.63,car,0,False
5532,20227,212,142.06,15.50,18.06,16.83,car,0,False
5533,20225,222,162.17,17.06,19.25,18.34,car,0,False
5541,20266,208,145.21,15.03,19.22,17.53,car,0,False
5551,20349,152,101.10,15.28,18.09,16.74,car,0,False
5562,20355,121,91.50,17.53,20.09,19.06,car,0,False
5570,20367,145,108.24,15.66,22.06,18.79,car,0,False
5581,20415,194,153.58,15.69,21.13,19.88,car,0,False
5583,20421,137,98.44,17.28,18.94,18.09,car,0,False
5590,20485,178,156.08,20.56,23.31,22.04,car,0,False
5593,20450,150,114.21,18.03,20.22,19.16,car,0,False
5596,20464,172,140.31,19.50,21.38,20.51,car,0,False
5615,20601,166,164.15,22.69,26.66,24.86,car,0,False
5618,20607,198,168.87,20.28,22.44,21.43,car,0,False
5620,20607,277,161.44,12.16,18.16,14.63,car,1,True
5638,20743,169,126.42,16.78,23.22,18.82,car,0,False
5649,20727,179,169.89,22.81,24.69,23.86,car,0,False
5655,20769,162,158.63,22.37,26.69,24.62,car,1,False
5675,20863,194,170.29,20.94,24.78,22.07,car,0,False
5678,20920,302,169.35,10.31,16.31,14.06,car,1,True
5734,21151,169,95.77,10.34,15.22,14.24,car,0,False
5760,21554,201,143.74,16.81,20.09,17.97,car,0,False
5764,21554,194,159.37,19.53,21.50,20.64,car,0,False
5784,21611,164,140.74,18.28,23.81,21.57,car,1,False
5793,21648,157,131.18,19.81,25.06,21.04,car,0,False
5800,21695,151,120.54,18.91,21.12,20.09,car,0,False
5837,21762,244,153.60,12.25,18.00,15.79,car,1,True
5854,21781,134,69.34,11.28,14.19,13.03,car,1,False
5856,21786,242,130.26,10.34,15.94,13.51,car,0,False
5884,21859,201,120.90,12.44,17.06,15.11,car,0,False
5890,21864,229,139.82,12.50,16.94,15.33,car,0,False
5905,21860,126,70.67,13.47,14.88,14.13,car,0,False
5925,21897,220,134.08,12.87,16.62,15.30,car,0,False
5933,21917,112,74.90,16.12,17.44,16.87,car,0,False
5943,21951,252,150.52,14.03,16.75,14.99,car,0,False
5946,21992,155,97.12,14.34,17.25,15.77,car,0,False
5959,22009,201,126.54,14.81,17.06,15.82,car,0,False
5964,22090,153,94.89,15.06,16.16,15.61,car,0,False
5969,22056,265,165.64,11.47,17.34,15.68,car,0,False
6002,22134,209,127.74,13.63,20.25,15.36,car,0,False
6004,22151,118,75.66,15.41,16.69,16.17,car,0,False
6012,22144,131,78.91,11.69,17.44,15.17,car,0,False
6014,22150,149,92.14,14.19,19.59,15.58,car,0,False
6022,22192,211,125.15,13.75,16.34,14.90,car,0,False
6033,22177,261,151.41,11.75,15.94,14.56,car,0,False
6037,22210,158,104.35,13.56,22.37,16.62,car,0,False
6055,22246,171,125.18,16.44,19.63,18.41,truck,0,False
6072,22308,236,173.50,16.97,19.94,18.45,car,0,False
6081,22346,180,116.05,13.12,17.09,16.20,car,0,False
6086,22356,218,148.38,15.75,19.19,17.09,car,0,False
6089,22419,178,123.85,15.91,19.47,17.50,car,0,False
6109,22591,207,179.79,20.00,23.19,21.81,car,0,False
6120,22505,225,185.49,17.75,22.94,20.70,car,0,False
6129,22601,202,161.46,18.13,21.94,20.08,car,0,False
6155,22647,203,164.81,18.34,22.63,20.39,car,0,False
6163,22668,166,144.06,18.88,22.97,21.82,car,0,False
6179,22696,190,164.98,18.03,23.44,21.81,car,0,False
6184,22718,144,130.94,22.12,24.00,22.90,car,0,False
6187,22725,193,165.96,19.72,22.84,21.61,car,0,False
6206,22775,199,162.83,18.41,21.19,20.55,car,0,False
6215,22821,230,190.53,19.91,21.50,20.80,car,0,False
6221,22838,201,187.73,18.69,25.50,23.46,car,0,False
6226,22895,201,155.07,16.62,22.37,19.38,car,1,True
6254,22942,130,111.42,20.56,22.41,21.59,car,0,False
6279,23001,184,172.36,22.75,26.88,23.56,car,0,False
6285,23015,104,93.64,21.41,23.44,22.72,car,0,False
6290,23044,181,164.17,20.25,24.34,22.81,car,0,False
6304,23090,184,167.69,21.81,26.50,22.92,car,0,False
6342,23243,130,91.16,16.62,20.56,17.68,truck,0,False
6397,23326,178,138.23,18.31,20.59,19.52,car,0,False
6425,23447,222,162.48,15.94,19.50,18.38,car,0,False
6429,23467,158,116.00,17.38,19.56,18.47,car,0,False
6437,23468,108,84.50,17.91,24.81,19.76,car,0,False
6442,23487,164,126.50,18.16,21.09,19.41,car,0,False
6444,23517,205,154.67,17.06,21.44,18.95,car,0,False
6466,23595,176,133.97,17.09,22.28,19.15,truck,0,False
6508,23705,208,147.24,15.75,19.94,17.77,car,0,False
6515,23716,155,128.23,19.44,21.94,20.82,car,0,False
6523,23848,200,160.32,18.13,21.50,20.14,car,0,False
6526,23791,170,130.39,18.06,20.09,19.29,car,0,False
6556,24028,219,163.08,17.62,19.72,18.70,car,0,False
6589,24150,151,109.77,17.06,20.25,18.30,car,0,False
6612,24154,238,172.77,16.75,19.94,18.22,car,0,False
6619,24201,205,154.06,17.00,19.94,18.87,car,0,False
6623,24183,146,107.88,17.56,20.03,18.60,car,0,False
